shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
20729,38.63711,-9.15103,1,
20729,38.64248,-9.15181,2,
20729,38.64856,-9.15324,3,
20729,38.65599,-9.15453,4,
20729,38.6604,-9.15732,5,
20729,38.6645608038068,-9.15998847211946,6,
20729,38.6678110814642,-9.16473822781852,7,
20729,38.6734,-9.16664,8,
20729,38.67658,-9.16435,9,
20729,38.6795207010185,-9.15759856448124,10,
20729,38.68247,-9.15235,11,
20729,38.68423,-9.14985,12,
20729,38.68789,-9.14766,13,
20730,38.68789,-9.14766,1,
20730,38.68423,-9.14985,2,
20730,38.68247,-9.15235,3,
20730,38.6795207010185,-9.15759856448124,4,
20730,38.67658,-9.16435,5,
20730,38.6734,-9.16664,6,
20730,38.6678110814642,-9.16473822781852,7,
20730,38.6645608038068,-9.15998847211946,8,
20730,38.6604,-9.15732,9,
20730,38.65599,-9.15453,10,
20730,38.64856,-9.15324,11,
20730,38.64248,-9.15181,12,
20730,38.63711,-9.15103,13,
20731,38.63711,-9.15103,1,
20731,38.64248,-9.15181,2,
20731,38.64856,-9.15324,3,
20731,38.65599,-9.15453,4,
20731,38.6604,-9.15732,5,
20731,38.6645608038068,-9.15998847211946,6,
20731,38.6678110814642,-9.16473822781852,7,
20731,38.66896,-9.17023,8,
20731,38.66625,-9.17994,9,
20732,38.66625,-9.17994,1,
20732,38.66896,-9.17023,2,
20732,38.6678110814642,-9.16473822781852,3,
20732,38.6645608038068,-9.15998847211946,4,
20732,38.6604,-9.15732,5,
20732,38.65599,-9.15453,6,
20732,38.64856,-9.15324,7,
20732,38.64248,-9.15181,8,
20732,38.63711,-9.15103,9,
20733,38.68789,-9.14766,1,
20733,38.68423,-9.14985,2,
20733,38.68247,-9.15235,3,
20733,38.6795207010185,-9.15759856448124,4,
20733,38.67658,-9.16435,5,
20733,38.6734,-9.16664,6,
20733,38.66896,-9.17023,7,
20733,38.66625,-9.17994,8,
20733,38.66405,-9.19043,9,
20733,38.66555,-9.19401,10,
20733,38.66455,-9.20029,11,
20733,38.66359,-9.20739,12,
20734,38.66359,-9.20739,1,
20734,38.66455,-9.20029,2,
20734,38.66555,-9.19401,3,
20734,38.66405,-9.19043,4,
20734,38.66625,-9.17994,5,
20734,38.66896,-9.17023,6,
20734,38.6734,-9.16664,7,
20734,38.67658,-9.16435,8,
20734,38.6795207010185,-9.15759856448124,9,
20734,38.68247,-9.15235,10,
20734,38.68423,-9.14985,11,
20734,38.68789,-9.14766,12,
