shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
21635,38.70592,-9.14405,1,
21635,38.7096667487393,-9.13637277761575,2,
21635,38.71356,-9.13884,3,
21635,38.71579,-9.14139,4,
21635,38.71974,-9.14502,5,
21635,38.72719,-9.1487,6,
21635,38.7305,-9.14671,7,
21635,38.73392,-9.14464,8,
21635,38.74291,-9.14684,9,
21635,38.74611,-9.14754,10,
21635,38.76964,-9.12828,11,
21636,38.76964,-9.12828,1,
21636,38.74517,-9.14795,2,
21636,38.74251,-9.14718,3,
21636,38.73364,-9.14515,4,
21636,38.73037,-9.14707,5,
21636,38.72738,-9.14904,6,
21636,38.72022,-9.14578,7,
21636,38.7156,-9.14205,8,
21636,38.71335,-9.1396,9,
21636,38.70848,-9.1387,10,
21636,38.70592,-9.14405,11,
21637,38.77078,-9.12811,1,
21637,38.742442244178,-9.16567304372478,2,
21638,38.742442244178,-9.16567304372478,1,
21638,38.77078,-9.12811,2,
